document_id,engine,ground_truth,ocr_text,cer,wer,time_ms
AHTD3A0001_Para2_3,PaddleOCR,من العذاب في ا[laam]خر[tee]، وأفدل ما رزكهم الله تعالى ومن به عليهم بالعكل الذي هو ضعام[tee][;],ماكو يذلا للاب حيلك ةب ىنمو  ب,0.8105,1.0,325
AHTD3A0001_Para2_4,Tesseract,لجميع ا[laae]شياح والذي [laaa] يكضر أحض في الضنيا على آص[laaa]ح معيشته .[;],ذالم 1 ا : ما,0.8933,1.0,260
AHTD3A0001_Para2_4,EasyOCR,لجميع ا[laae]شياح والذي [laaa] يكضر أحض في الضنيا على آص[laaa]ح معيشته .[;],معرا =رآحة دادذداعل ععرع ا٦ سيا ئولذر لدبفل اععا 9,0.7867,1.0,5872
AHTD3A0001_Para2_4,PaddleOCR,لجميع ا[laae]شياح والذي [laaa] يكضر أحض في الضنيا على آص[laaa]ح معيشته .[;],هينيعم ايندا حار دفيليددللو ايس لاك و راوعدحجس الصصا,0.8133,1.0,418
AHTD3A0001_Para3_1,Tesseract,فكال له  آنك في منازل إبائك وأجضاضك من الجبابر[tee] الذين أسسوا الملك[;],قال لمإتذئ منازل آبائكٌ وأجراء لز عن اطبا الزدر أسسوا ااال,0.5139,0.9167,357
AHTD3A0001_Para3_1,EasyOCR,فكال له  آنك في منازل إبائك وأجضاضك من الجبابر[tee] الذين أسسوا الملك[;],4(/ عهال لدانك ئ صازل آبائك واجدادث حن اجلبا اسسوا الردل 0?,0.5694,1.0,7631
AHTD3A0001_Para3_1,PaddleOCR,فكال له  آنك في منازل إبائك وأجضاضك من الجبابر[tee] الذين أسسوا الملك[;],كدادجأو كئابآ لزانم لكا ليزلا ةرجابجلا نم فكنإهل اوسسأ لَهف,0.7639,1.0,203
AHTD3A0001_Para3_2,Tesseract,كبلك، وشيضوه ضونك، وبنوا الك[laaa]ع والحصون، ومهضوا الب[laaa]ض، وكاضوا الجيوش [;],"لز وميدو دونز"" وجو الطلاع والهدعون؛ وصير ا الملرئء وا دوا الطروج ؛",0.5679,1.1818,337
AHTD3A0001_Para3_2,EasyOCR,كبلك، وشيضوه ضونك، وبنوا الك[laaa]ع والحصون، ومهضوا الب[laaa]ض، وكاضوا الجيوش [;],ومهروالبلاد ا وا دوا - وسدوم دونا وجلوا الهلاع والمعور ; عبلك الوح,0.7654,1.1818,5842
AHTD3A0001_Para3_2,PaddleOCR,كبلك، وشيضوه ضونك، وبنوا الك[laaa]ع والحصون، ومهضوا الب[laaa]ض، وكاضوا الجيوش [;],اوبو عالفلا كنود دالبلا اورم مو ودشو كالب اوداَقو نوصلاو وسلا,0.7654,1.0,205
AHTD3A0001_Para4_1,Tesseract,ذهب نوح مظفر درغام بصحبة رؤوف بن لؤي رايك ظافر عطعوط وهلال,دو ٍ' > ابا زر زهب عام بعصم,0.8103,1.0,286
AHTD3A0001_Para4_1,EasyOCR,ذهب نوح مظفر درغام بصحبة رؤوف بن لؤي رايك ظافر عطعوط وهلال,وو بل لوب رابق طام خطعرط وهلال سرعاح جصص زهب دوح صطط,0.7931,1.0,5270
AHTD3A0001_Para4_1,PaddleOCR,ذهب نوح مظفر درغام بصحبة رؤوف بن لؤي رايك ظافر عطعوط وهلال,خاظَي يؤ ا يفوؤر طوعطط ماعرضرفطح لالهو ةصصب حود بهز,0.8276,1.0,276
AHTD3A0001_Para4_2,Tesseract,خازن عفيف للحج .  بضأت  كوافل الحجيج حاج آثر الإخر يلبي .  عنض,"رن عطي فللم , جد أت هلوز عوائل المصوناغ زمر لاص :+",0.6774,1.0,320
AHTD3A0001_Para4_2,EasyOCR,خازن عفيف للحج .  بضأت  كوافل الحجيج حاج آثر الإخر يلبي .  عنض,عىد دحلرالا ^-ي هوطل هطل سارن كعمفا الم٩ج ا? ندات '0٥,0.8065,1.0,7809
AHTD3A0001_Para4_2,PaddleOCR,خازن عفيف للحج .  بضأت  كوافل الحجيج حاج آثر الإخر يلبي .  عنض,.ي جاجاحلاللا لفاو مع تأدج هحلل صيفك ر,0.8065,1.0,263
AHTD3A0001_Para4_3,Tesseract,وصولنا طفنا وسعينا مع شيخ. كان جاري في الخيمة يتكلم وهو نائر  بكلمات,و ٍّ ٠‏ لور 7 - سا بكلا,0.7941,1.0,271
AHTD3A0001_Para4_3,EasyOCR,وصولنا طفنا وسعينا مع شيخ. كان جاري في الخيمة يتكلم وهو نائر  بكلمات,لفصى يناكاج وحوسا م بحمات = صولنا طفنا وستد ا مع درو $ حرخ.,0.7794,1.0769,6754
AHTD3A0001_Para4_3,PaddleOCR,وصولنا طفنا وسعينا مع شيخ. كان جاري في الخيمة يتكلم وهو نائر  بكلمات,ايعسوم انعط ىى انلوصو خيشحم,0.7941,1.0,151
AHTD3A0001_Para4_4,Tesseract,لا أفهمها مثل انكد بغلس له الدابط لزمتك.  سألت راجح هل بلغ,نب ايا علا نكا خلس له ال ا مُصبَلرٌ - أن تراج و هل بل,0.5517,1.0833,339
AHTD3A0001_Para4_4,EasyOCR,لا أفهمها مثل انكد بغلس له الدابط لزمتك.  سألت راجح هل بلغ,هل بلذ سأرت عراىما مل انقفا بخلىت ل4 الحابة صاء ع,0.7931,1.0,7107
AHTD3A0001_Para4_4,PaddleOCR,لا أفهمها مثل انكد بغلس له الدابط لزمتك.  سألت راجح هل بلغ,جاتم لا ه دلخب ضعنا لئح احفأ خلب له,0.7241,1.0,674
AHTD3A0001_Para4_5,Tesseract,أصحابنا ط ع ك  ث خ د ب س ش ص غ ه أننا في الحج  هل تعلم,سم ا ب 2 / و المبر نهم,0.7963,0.9444,288
AHTD3A0001_Para4_5,EasyOCR,أصحابنا ط ع ك  ث خ د ب س ش ص غ ه أننا في الحج  هل تعلم,مل ن2 - صاعء / سا اع ، سذل  بس ^، آصما با الحج,0.7037,0.9444,6084
AHTD3A0001_Para4_5,PaddleOCR,أصحابنا ط ع ك  ث خ د ب س ش ص غ ه أننا في الحج  هل تعلم,اناهرح ص لعت م جحلا ي اثباحصأ ضؤ عاص,0.7222,0.9444,361
AHTD3A0005_Para1_1,Tesseract,ذهب نوح مظفر درغام بصح بة رؤوف بن لؤي رايك ظافر عطعوط وهلال خازن عفيف للحج,داهب نح قرام بمج جد روف ب ليا دأو خا خطوط وماوضازي. ين اليج,0.527,1.0,356
AHTD3A0005_Para1_1,EasyOCR,ذهب نوح مظفر درغام بصح بة رؤوف بن لؤي رايك ظافر عطعوط وهلال خازن عفيف للحج,"- وهلال حا زاذحصف هب نوح مظم حزخام بمح ج رذوف بن لؤي رانق ظاف حطحوط , =للحح",0.6351,1.0625,8310
AHTD3A0005_Para1_1,PaddleOCR,ذهب نوح مظفر درغام بصح بة رؤوف بن لؤي رايك ظافر عطعوط وهلال خازن عفيف للحج,خ قبار  نب قوؤ ماغضم حون هد جحلل فح لزاح لح زاح يفا,0.7432,1.0,345
AHTD3A0005_Para1_2,Tesseract,بضأت كوافل الحجيج حاج اثر اخر يلبي. عنض وصولنا  وسعينا مع شيخ. كان جاري في الخيمة,بداد فَواضل اللحجيج حاج أثر اح ذلاي .كد ومو لماو رحيناجم شيخ كالم جارىي الرت,0.4321,0.9375,338
AHTD3A0005_Para1_2,EasyOCR,بضأت كوافل الحجيج حاج اثر اخر يلبي. عنض وصولنا  وسعينا مع شيخ. كان جاري في الخيمة,ع حاج ادران بلي عىذ وحولناو رعنامع شيح قوافل بدال الجيج كالنجارى الحمه,0.7037,0.9375,6993
AHTD3A0005_Para1_2,PaddleOCR,بضأت كوافل الحجيج حاج اثر اخر يلبي. عنض وصولنا  وسعينا مع شيخ. كان جاري في الخيمة,تادبب يبلينالا رزيك جاح جيجحلا لفاوق ةمحلا خيش خاميلوص,0.7778,1.0,330
AHTD3A0005_Para1_3,Tesseract,يتكلم وهو نائم  بكلمات لا أفهمها مثل انكد بغلس له الدابط لزمتك.   سألت,,1.0,1.0,296
AHTD3A0005_Para1_3,EasyOCR,يتكلم وهو نائم  بكلمات لا أفهمها مثل انكد بغلس له الدابط لزمتك.   سألت,بنلس~ < الحابط ل منل . رألت لتكام وهوناح بكاعات ل١ ١فم١مل ا نمص,0.7714,1.0769,6987
AHTD3A0005_Para1_3,PaddleOCR,يتكلم وهو نائم  بكلمات لا أفهمها مثل انكد بغلس له الدابط لزمتك.   سألت,ضحنا لمامفأ هلخب ملان ماكتل ه دل تاعاكب طىاضلا وهو تلأأر,0.7571,1.0,326
AHTD3A0005_Para2_1,Tesseract,وكنت وجضت في كتب الطب أن أفدل ا[laae]طباح من واظب على طبه، [laaa] يبتغي آ[laaa] ا[laam]خر[tee].[;],"عرق يكس الدل أ فضا الأطبباء سبدو اضتاعل طبه ل يمتني إلا لزي 7 تا حا , : | 2",0.7041,1.25,378
AHTD3A0005_Para2_1,EasyOCR,وكنت وجضت في كتب الطب أن أفدل ا[laae]طباح من واظب على طبه، [laaa] يبتغي آ[laaa] ا[laam]خر[tee].[;],ئ حس الحب أ~ اففل الاباء منواحلحل ط4 لا بتي الا 9 حىت الاخت جدت,0.6939,1.0,9227
AHTD3A0005_Para2_1,PaddleOCR,وكنت وجضت في كتب الطب أن أفدل ا[laae]طباح من واظب على طبه، [laaa] يبتغي آ[laaa] ا[laam]خر[tee].[;],هط عضاوص أصلا لا ب ءاطألا اضفأ ىقبي تك تدجو,0.8163,1.0,309
AHTD3A0005_Para2_2,Tesseract,فرأيت أن أطلب ا[laae]شتغ ال بالطب آبتغاح ا[laae]خر[tee][col] لئ[laaa] أكون كالتاجر الذي باع[;],ابت ا تطلب الا جتم ل اام ا يتخب الارة 8لا ا,0.734,1.0,349
AHTD3A0005_Para2_2,EasyOCR,فرأيت أن أطلب ا[laae]شتغ ال بالطب آبتغاح ا[laae]خر[tee][col] لئ[laaa] أكون كالتاجر الذي باع[;],حالتا جر الذى د الا ختعال نالحن 1 لتخاء الامزآ . لئلا الن 1 طلب | ل5 اكول^,0.7553,1.3846,7676
AHTD3A0005_Para2_2,PaddleOCR,فرأيت أن أطلب ا[laae]شتغ ال بالطب آبتغاح ا[laae]خر[tee][col] لئ[laaa] أكون كالتاجر الذي باع[;],ىزلاراتلاع ةنوكا الئل ةالا 1طلاب و ارا بلطأ داختل هاآ سإإف,0.8191,1.0,407
AHTD3A0005_Para3_4,Tesseract,علمت ، لم يلبث ان يتلفه ويبكى على حر[tee] ونضام[tee][;],2 عات غ يليت اي له و يدن عا حبرة و ند امار,0.6727,1.3,362
AHTD3A0005_Para3_4,EasyOCR,علمت ، لم يلبث ان يتلفه ويبكى على حر[tee] ونضام[tee][;],جلبث ١ذ لللمه ولث عاا عاحن مة و زدام 7,0.7273,1.0,10185
AHTD3A0005_Para3_4,PaddleOCR,علمت ، لم يلبث ان يتلفه ويبكى على حر[tee] ونضام[tee][;],ةمادنو ةرص هبليع هفلت تعاع ىلع بيلو هاآ,0.8182,1.0,509
AHTD3A0005_Para4_1,Tesseract,ذهب نوح مظفر درغام بصحبة رؤوف بن لؤي رايك ظافر عطعوط وهلال خازن,"هد ب , 7 . . وح مخ حر عا دخلوى او لاي عداط رم ١‏ ١‏ ١‏ 3 وهلال حدئيء",0.7619,1.5385,358
AHTD3A0005_Para4_1,EasyOCR,ذهب نوح مظفر درغام بصحبة رؤوف بن لؤي رايك ظافر عطعوط وهلال خازن,خراف عحجوا دهلال دوح مطط حلعام جدحبآ رودف دلو دحمد ^/ خا ذ لز,0.8254,1.0769,6805
AHTD3A0005_Para4_1,PaddleOCR,ذهب نوح مظفر درغام بصحبة رؤوف بن لؤي رايك ظافر عطعوط وهلال خازن,فوؤر ةب صب ماصب ىظم حو للهو و ذظا لامل يؤلزب بهذ ةلزاخ,0.7778,1.0,285
AHTD3A0005_Para4_2,Tesseract,عفيف للحج . بضأت كوافل الحجيج حاج اثر إخر يلبي.عنض وصولنا ظفنا,اواك 7 . : ١‏ كمف للجج يدا يي امل المجنحاة اراح ثااى . عدر وصوليا ظطعنا,0.7581,1.3333,351
AHTD3A0005_Para4_2,EasyOCR,عفيف للحج . بضأت كوافل الحجيج حاج اثر إخر يلبي.عنض وصولنا ظفنا,قواقل الححبح حاج اآ خردابى . حنذ وصولدا طعذا عمف للحج لدااق,0.7903,1.0,7390
AHTD3A0005_Para4_2,PaddleOCR,عفيف للحج . بضأت كوافل الحجيج حاج اثر إخر يلبي.عنض وصولنا ظفنا,اهصط لوصو ىسايرخآركا جاحححلا تأدل لفاوق رنع جحلل مصك,0.8065,1.0,286
AHTD3A0005_Para4_6,Tesseract,الكلمات التالية لهذا النص[col] مشمش ضراك غيظ ناح   بث  نسر,ا خط اناا ميد,0.8621,1.0,347
AHTD3A0005_Para4_6,EasyOCR,الكلمات التالية لهذا النص[col] مشمش ضراك غيظ ناح   بث  نسر,النذر  مشع الكاءت |ل7 لده لهذا | ،> 9٣ر>2 ناداد0,0.7931,1.0,9471
AHTD3A0005_Para4_6,PaddleOCR,الكلمات التالية لهذا النص[col] مشمش ضراك غيظ ناح   بث  نسر,"تعاكلا اذهةبتل هنلا ?, Asك,J",0.8276,1.0,248
AHTD3A0047_Para1_1,Tesseract,ذهب نوح مظفر درغام بصحبة رؤوف بن لؤي رايك ظافر عطعوط وهلال خازن عفيف للحج,,1.0,1.0,306
AHTD3A0047_Para1_1,EasyOCR,ذهب نوح مظفر درغام بصحبة رؤوف بن لؤي رايك ظافر عطعوط وهلال خازن عفيف للحج,ح`ا ' ز ءدزذ »> سوح صظفر حرغام حمحبد رحدذ ت لسؤد راحق خلا حر ) اردج حط حر دودل,0.7534,1.3333,6404
AHTD3A0047_Para1_1,PaddleOCR,ذهب نوح مظفر درغام بصحبة رؤوف بن لؤي رايك ظافر عطعوط وهلال خازن عفيف للحج,ىحا حو نردك وحطحرق الخ ك وكر ود رعل رص جردأ روصرح,0.726,1.0,836
AHTD3A0047_Para1_2,Tesseract,بضأت كوافل الحجيج حاج آثر إخر يلبي عنض وصولنا ظفنا وسعينا مع شيخ كان جاري في الخيمة,ب - نه 5 د بحم. : * 5 َ 2 و0 . 3 اراح,0.7952,1.0,298
AHTD3A0047_Para1_2,EasyOCR,بضأت كوافل الحجيج حاج آثر إخر يلبي عنض وصولنا ظفنا وسعينا مع شيخ كان جاري في الخيمة,ئ امتدحت ن ظدنا وسدذا دمع بلبر كرذ حاج ! تر حوا عل ندح نجارا 9?و)ا آ>ر الحجيج,0.8072,1.0588,7478
AHTD3A0047_Para1_2,PaddleOCR,بضأت كوافل الحجيج حاج آثر إخر يلبي عنض وصولنا ظفنا وسعينا مع شيخ كان جاري في الخيمة,و اح جيددس انفظ دحضا راجن انر و جاح زن ميا جيبجحلا اوح يلر,0.7349,1.0,561
AHTD3A0047_Para1_3,Tesseract,يتكلم في الخيمة يتكلم وهو نائم  بكلمات لا أفهمها مثل انكد بغلس له الدابط لزمتك سألت,0 : . ِ ب 5 مد ح 7 بجاح زصاتحارص”* حرا ال مكل ة اجنمح مكلعه وكو ناددج وكلدمه أ ١‏ تدعا دل ا عض 7 اعم رحد نهنا در _,1.0602,2.0,428
AHTD3A0047_Para1_3,EasyOCR,يتكلم في الخيمة يتكلم وهو نائم  بكلمات لا أفهمها مثل انكد بغلس له الدابط لزمتك سألت,فهمدا صمل الدخ رداسس ارالحارط اردئداء لازحار _ لللمت ل> درلسا & قللم وهونادح الحنمت,0.7831,1.0,8814
AHTD3A0047_Para1_3,PaddleOCR,يتكلم في الخيمة يتكلم وهو نائم  بكلمات لا أفهمها مثل انكد بغلس له الدابط لزمتك سألت,لآزلل احرل طدالاز ضور لم اهمهف ال محل دلر حمخلا جنان ه R..-,0.7229,1.0,513
AHTD3A0047_Para1_4,Tesseract,راجح هل بلغ أصحابنا ظ ع ك  ث خ د ب س ش ص غ ه أننا في الحج. هل تعلم فائضة,", نو ناي كل بلع “١‏ معا ما اع نا ان حص ب سا شش صا رع د أن ولح .",0.7361,1.0,331
AHTD3A0047_Para1_4,EasyOCR,راجح هل بلغ أصحابنا ظ ع ك  ث خ د ب س ش ص غ ه أننا في الحج. هل تعلم فائضة,حفل بحلم نا لد5 آ دزا $' ص ٤ ن ت صا ب عحا با ظع دت _ ضا حل بلع جع ادحج,0.7083,1.0455,6257
AHTD3A0047_Para1_4,PaddleOCR,راجح هل بلغ أصحابنا ظ ع ك  ث خ د ب س ش ص غ ه أننا في الحج. هل تعلم فائضة,انباعص علب لح ا لص 2.٢ا ىص رص عظ هلوب ز ر ك رع,0.75,1.0,382
AHTD3A0047_Para1_5,Tesseract,الكلمات التالية لهذا النص مشمش ضراك غيظ ناح   بث  نسر,١‏ لحت احامة ضنا الله شحف دو كلا نا سس سس,0.6038,1.1,285
AHTD3A0047_Para1_5,EasyOCR,الكلمات التالية لهذا النص مشمش ضراك غيظ ناح   بث  نسر,عرظ ناء يت حلسعس دراى طمذا الرصا التاللد لللمت ننس,0.7925,1.0,4531
AHTD3A0047_Para1_5,PaddleOCR,الكلمات التالية لهذا النص مشمش ضراك غيظ ناح   بث  نسر,ات ظينع ىارد شنحشك لا اذعط ةيلاكلا نلرسر,0.7547,1.0,504
AHTD3A0047_Para2_1,Tesseract,منذ بضح الضراس[tee] ، التحك بمعهض كونفوشيوس جامع[tee] الكضيس يوسف [n2][n1][n3] طالبا تتراوح أعوامهم[;],١‏ و ا د أ“ - عي ب حا 8 با نل نر لكت + 2 سم نسي ذذدذييد زرف لدنتث - :,0.8137,1.6429,438
AHTD3A0047_Para2_1,EasyOCR,منذ بضح الضراس[tee] ، التحك بمعهض كونفوشيوس جامع[tee] الكضيس يوسف [n2][n1][n3] طالبا تتراوح أعوامهم[;],لبا ننرادح معة القدس يوسد 2٨3 الحوا بمحمدكو نعى ه ست الدرا م ند مدىد در سا _نليو آدرا مه,0.8039,1.4286,7634
AHTD3A0047_Para2_1,PaddleOCR,منذ بضح الضراس[tee] ، التحك بمعهض كونفوشيوس جامع[tee] الكضيس يوسف [n2][n1][n3] طالبا تتراوح أعوامهم[;],دلآ اج وش حنارتت ارب وك رنصورحب قحملا تساردلا ىرل ىحن هماودأ دن دم,0.8137,1.0,483
AHTD3A0047_Para3_1,Tesseract,وآنما أيدا في الطب التكليضي الصيني الذي يحظى بكبول واسع في لبنان في مارس  بضأ المعهض ضور[tee][;],ذانما أ رض أ ائط التدقب ى الصس الذي عض ححوا واس اسان فايس بدح المحدد <9ه,0.5521,1.0,327
AHTD3A0047_Para3_1,EasyOCR,وآنما أيدا في الطب التكليضي الصيني الذي يحظى بكبول واسع في لبنان في مارس  بضأ المعهض ضور[tee][;],دواث امحداد ند دحطى جفتول واسح ذ لبان ذ $ الطبا التدلىا و الحلنى رطا دا دذا مارسا الذي,0.7708,1.1176,6529
AHTD3A0047_Para3_1,PaddleOCR,وآنما أيدا في الطب التكليضي الصيني الذي يحظى بكبول واسع في لبنان في مارس  بضأ المعهض ضور[tee][;],رود دحملا نانل ءدن سراص ك لوفج هاو يضحي ىبلاى الوتلا را ملا يذلا ر هناد,0.7812,1.0,362
AHTD3A0047_Para3_2,Tesseract,في الطب والعكاكير التكليضي[tee] الصيني[tee] بعنوان [dbq]بضايات التضليك للطب التكليضي الصيني[;],: ١ 3 5 ٍَ 0 5 ف‎ :,0.9149,1.0,302
AHTD3A0047_Para3_2,EasyOCR,في الطب والعكاكير التكليضي[tee] الصيني[tee] بعنوان [dbq]بضايات التضليك للطب التكليضي الصيني[;],الصس كا الىد لىد بدا ى الحلب ىلنوا لز الحب والدقا غبر الردلىل للتفليد للحب,0.734,1.3636,6469
AHTD3A0047_Para3_2,PaddleOCR,في الطب والعكاكير التكليضي[tee] الصيني[tee] بعنوان [dbq]بضايات التضليك للطب التكليضي الصيني[;],كل جين صل دلدتلا ريخاقدلا ةب و اشصلا ددلا ييادب اباونل ىديلحَتلل سصلا بحلل,0.8085,1.2727,263
AHTD3A0047_Para3_3,Tesseract,تعتبر ا[laae]ولى من نوعها في منطك[tee] الشرك ا[laae]وسط. كانت هذه الضور[tee] مخصص[tee] لمن ضرسوا من[;],بحا .ع - 9 ٍ حصمة ضف حدهدها حن ا ً | رده الذدورعة ركوين حفة - جب يا دس وها 5 منعده لاخرى ألا و يريط كان ْ,0.8627,1.9333,358
AHTD3A0047_Para3_3,EasyOCR,تعتبر ا[laae]ولى من نوعها في منطك[tee] الشرك ا[laae]وسط. كانت هذه الضور[tee] مخصص[tee] لمن ضرسوا من[;],در وا مرغ جرن 3مما كانت هدد الاوزح من نوءعا 3 منطقت المرق الا وسط الا تدتبر ول,0.8039,1.2,6634
AHTD3A0047_Para3_3,PaddleOCR,تعتبر ا[laae]ولى من نوعها في منطك[tee] الشرك ا[laae]وسط. كانت هذه الضور[tee] مخصص[tee] لمن ضرسوا من[;],"ةزرف را حننح ع ر صر ترشلا اعكو اوسر رآ هدم نع يو,را",0.8137,1.0,373
AHTD3A0047_Para3_4,Tesseract,كبل ولمن ليست لضيهم أي خليك[tee] طيب[tee][;],بف دفن ليست لي حسم أي حارم يح,0.6364,0.8571,268
AHTD3A0047_Para3_4,EasyOCR,كبل ولمن ليست لضيهم أي خليك[tee] طيب[tee][;],ي 7 لىف طا ٥ وبل 9لهن لستل ممو,0.8409,1.2857,3594
AHTD3A0047_Para3_4,PaddleOCR,كبل ولمن ليست لضيهم أي خليك[tee] طيب[tee][;],نمو لبف فرلو ل تريل ةبيم اي,0.7955,1.0,234
AHTD3A0047_Para4_1,Tesseract,ذهب نوح مظفر غام بصحبة رؤوف بن لؤوي رايك ظافر عطعوط وهلال خازن عفيف للحج,دحب توح صسطرعاء بع اق ما نادي راب ضاو: كطخوط وصلاد جار حَدَيْنْ لبح,0.5972,1.0,308
AHTD3A0047_Para4_1,EasyOCR,ذهب نوح مظفر غام بصحبة رؤوف بن لؤوي رايك ظافر عطعوط وهلال خازن عفيف للحج,لخارن كذيز لدحج كطحوط ا 9 راحج بححبد رورف دبن م دصب سوح صخظفرعا لوري وصلا,0.8472,1.0667,6544
AHTD3A0047_Para4_1,PaddleOCR,ذهب نوح مظفر غام بصحبة رؤوف بن لؤوي رايك ظافر عطعوط وهلال خازن عفيف للحج,نزاخ ردلصو قرورتبعميب ماغرفص حرلل ريخك طوعطك يمار ايدوند فءاح حخم,0.7917,1.0,258
AHTD3A0047_Para4_2,Tesseract,بضأت كوافل الججيح حاج آثر إخر يلبي عنض وصولنا طفنا وسعينا مع شيخ كان جاري,ا ا ِ به شهيرًا شع كان حلاف بدأ ب حواجل المضيع حاج ات أحي بلي حر و عوث هما د نيا مع هجح واد,0.9452,1.6,353
AHTD3A0047_Para4_2,EasyOCR,بضأت كوافل الججيح حاج آثر إخر يلبي عنض وصولنا طفنا وسعينا مع شيخ كان جاري,وسعنا ع سع طفنا مولنا ذ كىر قوا خل الججيع حاج ا ت آحن بلبى ك ن جاري,0.7397,1.1333,7693
AHTD3A0047_Para4_2,PaddleOCR,بضأت كوافل الججيح حاج آثر إخر يلبي عنض وصولنا طفنا وسعينا مع شيخ كان جاري,حست يداجناك م هند وه لفاوف نلا جاح حدجعلا رك,0.7397,1.0,506
AHTD3A0047_Para4_3,Tesseract,في الخيمة يتكلم وهو نائم  بكلمات  وهو نائم  بكلمات لا أفهمها مثل انكد بغلس له الدابط,م أحصمة يكيم دحيم اطع سكلحات و صو امم بكدماب 3 ١‏ حصي صتثل اخخضا ركس لصهحطار”,0.5952,1.0625,347
AHTD3A0047_Para4_3,EasyOCR,في الخيمة يتكلم وهو نائم  بكلمات  وهو نائم  بكلمات لا أفهمها مثل انكد بغلس له الدابط,لهالطا ر1 انفضا رؤلس 9دفس ل مكحمن نا سم مو نسكلحان الحيمة بكلم دهو ناحم 9 متل,0.7619,1.0625,7303
AHTD3A0047_Para4_3,PaddleOCR,في الخيمة يتكلم وهو نائم  بكلمات  وهو نائم  بكلمات لا أفهمها مثل انكد بغلس له الدابط,سلغ باعلاصل نحوزر ١ رص مل تاحلكن هصحف عئان ةمبعا,0.7857,1.0,301
AHTD3A0047_Para4_4,Tesseract,لزمتك سألت راجع هل بلغ أصحابنا  ع ك  ث خ د ب س ش د غ ه أننا في الحج هل,ليحر ماك ربع صل بلدا *معاماع دا راض ب سس حل ضفن هتما ذا انمع دطد,0.6429,0.9524,315
